Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-06-12 07:24:48,false,"Mumbai Running","3.01","197","00:21:09","179","191","4.3","168","174","7:02","6:00","4","5","0.85","9.7","8.2","275","7:02","229","0.0","227","282","3,566","-10","No","00:00:05.1","4","00:21:01","00:21:09","7","12"
Running,2026-06-10 07:31:13,false,"Mumbai Running","4.01","267","00:29:25","185","195","4.7","165","175","7:20","5:14","4","8","0.83","9.8","8.0","277","7:18","216","0.0","212","332","4,880","-14","No","00:00:03.2","5","00:29:22","00:29:25","7","13"
Running,2026-06-08 07:31:01,false,"Mumbai Running","3.01","196","00:25:47","169","179","3.2","157","170","8:34","5:06","3","4","0.75","10.3","7.7","289","8:24","191","0.0","185","333","4,092","-8","No","00:00:06.2","4","00:25:37","00:25:47","8","13"
Running,2026-06-07 19:25:37,false,"Mumbai Running","3.50","230","00:29:51","178","190","3.6","159","165","8:31","5:56","2","9","0.76","10.7","8.0","295","8:19","199","0.0","195","277","4,760","-9","No","00:04:14.1","4","00:29:49","00:29:51","1","9"
Running,2026-06-01 07:17:42,false,"Mumbai Running","3.00","199","00:22:10","183","192","4.2","162","172","7:23","6:35","3","5","0.83","9.9","8.2","280","7:19","217","0.0","213","252","3,650","-10","No","00:00:02.0","4","00:22:04","00:22:10","8","13"
Running,2026-05-27 06:58:12,false,"Mumbai Running","3.01","210","00:25:48","175","186","3.9","155","167","8:35","5:52","4","9","0.76","10.3","7.7","292","8:47","188","0.0","180","279","3,998","-11","No","00:00:02.5","4","00:25:32","00:25:48","10","16"
Running,2026-04-26 06:29:36,false,"Bengaluru Running","9.80","678","01:19:30","188","201","5.0","158","244","8:07","6:15","40","38","0.77","9.7","7.6","282","8:07","199","0.0","188","259","12,544","-7","No","00:06:09.3","10","01:19:08","01:19:30","900","930"
Running,2026-03-08 18:59:51,false,"Mumbai Running","5.01","298","00:39:01","176","191","4.1","160","165","7:48","6:30","8","13","0.80","10.5","8.4","292","7:48","189","0.0","188","236","6,264","-7","No","00:00:05.3","6","00:38:57","00:39:59","4","13"
Running,2026-02-15 17:49:24,false,"Mumbai Running","5.01","299","00:38:28","168","188","4.3","160","167","7:41","6:26","11","9","0.81","10.4","8.4","292","7:40","200","0.0","196","268","6,178","-11","No","00:00:05.1","6","00:38:25","00:38:28","10","18"
Running,2026-01-18 05:10:02,false,"Mumbai Running","42.75","2,636","05:03:59","184","202","5.0","161","247","7:07","4:25","124","125","0.87","9.5","8.2","273","7:06","212","0.0","200","351","49,180","-18","No","00:05:13.9","43","04:59:06","05:03:59","1","37"
Running,2026-01-11 05:21:10,false,"Mumbai Running","21.02","1,252","02:41:11","163","183","4.9","158","174","7:40","5:47","52","54","0.83","10.0","8.2","284","7:39","200","0.0","192","298","25,446","-30","No","00:00:07.3","22","02:40:08","02:51:28","2","36"
Running,2026-01-05 07:16:59,false,"Mumbai Running","5.02","312","00:35:13","172","184","3.7","160","214","7:01","6:00","8","12","0.89","9.4","8.4","275","7:01","211","0.0","202","251","5,642","-8","No","00:00:07.9","6","00:34:53","00:35:13","5","15"
Running,2026-01-01 20:11:40,false,"Mumbai Running","5.10","306","00:50:07","151","171","2.4","136","167","9:50","6:30","17","16","0.74","10.3","7.5","301","9:49","160","0.0","141","251","6,880","--","No","00:00:54.7","6","00:47:24","00:50:07","2","8"
Running,2025-12-28 05:12:29,false,"Mumbai Running","21.13","1,279","02:33:42","171","184","5.0","160","174","7:16","6:03","41","38","0.86","9.8","8.3","279","7:16","206","0.0","199","288","24,634","-22","No","00:01:31.4","22","02:32:11","02:46:54","2","33"
Running,2025-12-24 07:09:25,false,"Mumbai Running","5.34","326","00:40:09","161","183","3.3","155","240","7:31","5:50","11","17","0.86","9.5","8.1","279","7:30","203","0.0","189","281","6,224","-10","No","00:02:19.7","6","00:39:57","00:40:58","4","14"
Running,2025-12-21 05:55:59,false,"Kolkata Running","25.01","1,487","02:31:57","187","197","5.0","170","179","6:05","5:24","38","40","0.96","9.0","8.7","263","6:05","239","0.0","237","300","25,802","-42","No","00:00:01.7","26","02:31:52","02:31:57","2","14"
Running,2025-12-14 05:05:42,false,"Mumbai Running","21.01","1,242","02:24:14","173","190","5.0","165","240","6:52","5:54","71","70","0.88","9.6","8.5","275","6:52","214","0.0","210","291","23,822","-22","No","00:00:02.2","22","02:23:51","02:36:26","4","39"
Running,2025-12-11 06:51:23,false,"Mumbai Running","5.01","303","00:35:34","171","187","4.6","162","169","7:06","6:11","10","9","0.87","9.9","8.6","282","7:06","206","0.0","205","256","5,764","-13","No","00:00:05.6","6","00:35:27","00:39:13","4","10"
Running,2025-12-07 06:06:07,false,"Mumbai Running","16.00","965","01:46:59","179","196","5.0","167","174","6:41","5:42","63","64","0.90","9.5","8.5","273","6:40","220","0.0","217","304","17,862","-26","No","00:00:02.6","17","01:46:53","01:53:12","1","36"
Running,2025-12-05 07:10:14,false,"Mumbai Running","5.10","325","00:37:01","183","196","5.0","162","170","7:16","4:48","11","15","0.85","10.0","8.5","283","7:14","205","0.0","201","324","6,006","-17","No","00:00:45.7","6","00:36:54","00:37:01","6","15"
Running,2025-12-02 07:17:06,false,"Mumbai Running","5.04","324","00:38:04","182","193","4.8","159","236","7:33","6:21","5","10","0.83","10.1","8.4","285","7:32","198","0.0","192","236","6,090","-16","No","00:00:15.6","6","00:37:54","00:38:37","5","12"
Running,2025-11-02 05:51:32,false,"Mumbai Running","14.10","889","01:45:22","171","195","5.0","154","231","7:28","5:47","47","48","0.87","9.6","8.3","279","7:25","206","0.0","192","300","16,164","-22","No","00:01:01.8","15","01:42:49","02:16:37","4","35"
Running,2025-10-25 06:27:25,false,"Mumbai Running","10.02","658","01:12:52","178","192","5.0","157","233","7:16","5:56","23","23","0.88","9.5","8.2","277","7:13","207","0.0","196","255","11,506","-20","No","00:00:09.2","11","01:12:36","01:12:52","5","15"
Running,2025-10-19 05:10:21,false,"Mumbai Running","14.02","887","01:46:44","171","188","4.6","154","229","7:37","5:47","47","48","0.85","9.9","8.4","283","7:37","202","0.0","190","295","16,430","-19","No","00:00:09.3","15","01:42:37","01:52:04","4","39"
Running,2025-10-12 05:16:40,false,"New Delhi Running","21.14","1,282","02:03:25","191","199","5.0","166","245","5:50","4:44","10","20","1.03","8.8","9.0","261","5:51","250","0.0","244","328","20,552","-31","No","00:00:47.1","22","02:01:47","02:03:25","194","205"
Running,2025-10-02 09:46:32,false,"Dubrovnik Running","2.77","368","01:54:49","106","165","1.1","31","160","41:28","2:27","258","262","0.78","8.6","5.5","330","37:07","67","0.0","25","331","4,186","-7","No","00:33:45","3","00:45:13","01:54:49","-7","70"
Running,2025-09-28 16:33:58,false,"Plitvicka jezera Running","8.01","526","01:43:37","130","190","2.8","97","250","12:56","4:38","238","168","0.74","8.6","6.3","328","11:39","149","0.0","99","365","10,722","-6","No","00:00:02.2","9","01:28:52","01:53:29","537","708"
Running,2025-09-21 10:58:01,false,"Berlin - BMW Berlin Marathon (42.195 km)","42.22","2,601","04:48:48","182","198","5.0","161","237","6:50","5:10","77","74","0.91","9.4","8.5","273","6:50","224","0.0","213","308","46,742","-32","No","00:01:38.2","43","04:45:00","04:57:53","33","54"
Running,2025-09-20 08:56:08,false,"Berlin Running","5.01","304","00:36:10","165","178","3.4","160","170","7:13","4:52","5","2","0.86","10.0","8.5","283","7:13","202","0.0","201","308","5,852","-6","No","00:00:01.9","6","00:35:57","00:43:05","37","41"
