date,sleep_total_min,sleep_deep_min,sleep_light_min,sleep_rem_min,sleep_awake_min,sleep_score,sleep_quality_score,sleep_recovery_score,resp_avg,sleep_stress_avg,restless_moments,hrv_overnight_ms,hrv_status,hrv_weekly_avg,overnight_hr,rhr,spo2_status,vo2max_running,vo2max_fitnessage,bio_age,bmi,acute_load,chronic_load,acwr,acwr_status,training_status,fitness_trend,readiness_score,readiness_level,recovery_time_hr,pred_5k_s,pred_10k_s,pred_half_s,pred_marathon_s
2024-05-11,,,,,,,,,,,,,,,,63.0,,,48.6,20.6,21.4,0.0,309.0,,NONE,NO_STATUS,,,NONE,1.0,,,,
2024-05-12,323.0,34.0,223.0,66.0,18.0,69.0,83.0,100.0,12.0,9.1,38.0,,,,,62.0,,44.0,48.8,20.5,21.4,616.0,309.0,,NONE,NO_STATUS,,,NONE,1.0,,,,
2024-05-13,374.0,58.0,225.0,91.0,38.0,74.0,82.0,86.0,12.0,13.4,37.0,,,,,61.0,,,48.9,20.3,21.4,556.0,309.0,,NONE,NO_STATUS,,,NONE,2928.0,,,,
2024-05-14,495.0,84.0,291.0,120.0,11.0,95.0,93.0,97.0,12.0,10.7,44.0,,,,,,,,,,,494.0,309.0,,NONE,NO_STATUS,,,NONE,1186.0,,,,
2024-05-15,376.0,66.0,260.0,50.0,55.0,62.0,64.0,72.0,13.0,19.2,37.0,,,48.0,,60.0,,,49.1,20.2,21.4,432.0,309.0,,NONE,NO_STATUS,,64.0,MODERATE,1.0,,,,
2024-05-16,308.0,91.0,156.0,61.0,12.0,64.0,82.0,73.0,14.0,18.5,33.0,,,47.0,,59.0,,,49.2,20.0,21.4,370.0,309.0,,NONE,NO_STATUS,,5.0,POOR,3689.0,,,,
2024-05-17,478.0,60.0,311.0,107.0,23.0,86.0,81.0,80.0,13.0,14.9,51.0,,,48.0,,,,,,,,309.0,309.0,,OPTIMAL,NO_STATUS,NO_RESULT,41.0,LOW,2214.0,1880.0,3944.0,8861.0,19610.0
2024-05-18,534.0,127.0,295.0,112.0,23.0,86.0,82.0,81.0,13.0,14.7,48.0,,,50.0,,,,41.0,,,,547.0,547.0,,OPTIMAL,NO_STATUS,NO_RESULT,73.0,MODERATE,787.0,1796.0,3839.0,8774.0,19761.0
2024-05-19,513.0,72.0,359.0,82.0,30.0,74.0,67.0,59.0,13.0,25.2,44.0,,,47.0,,,,41.0,,,,840.0,840.0,,OPTIMAL,MAINTAINING,NO_CHANGE,13.0,POOR,3563.0,1769.0,3787.0,8674.0,19580.0
2024-05-20,311.0,37.0,266.0,8.0,70.0,40.0,36.0,41.0,13.0,32.8,29.0,,,45.0,,,,42.0,,,,1028.0,1028.0,,OPTIMAL,MAINTAINING,NO_CHANGE,1.0,POOR,5526.0,1812.0,3844.0,8764.0,19744.0
2024-05-21,416.0,27.0,312.0,77.0,59.0,67.0,64.0,69.0,13.0,20.4,49.0,,,43.0,,,,,,,,866.0,800.0,,OPTIMAL,MAINTAINING,NO_CHANGE,1.0,POOR,3591.0,1813.0,3847.0,8771.0,19763.0
2024-05-22,401.0,60.0,304.0,37.0,5.0,75.0,85.0,100.0,13.0,7.4,49.0,,,44.0,,,,41.0,,,,1158.0,921.0,,OPTIMAL,MAINTAINING,NO_CHANGE,29.0,LOW,2239.0,1849.0,3909.0,8896.0,20024.0
2024-05-23,382.0,52.0,238.0,92.0,26.0,75.0,81.0,80.0,13.0,15.1,35.0,,,45.0,,,,,,,,1012.0,855.0,,OPTIMAL,MAINTAINING,NO_CHANGE,18.0,POOR,3124.0,1848.0,3905.0,8886.0,19996.0
2024-05-24,368.0,47.0,262.0,59.0,86.0,48.0,46.0,48.0,13.0,30.1,42.0,,,42.0,,,,,,,,867.0,802.0,1.0,OPTIMAL,MAINTAINING,NO_CHANGE,23.0,POOR,2216.0,1844.0,3897.0,8862.0,19927.0
2024-05-25,466.0,67.0,302.0,97.0,5.0,84.0,82.0,73.0,13.0,18.3,47.0,,,41.0,,,,,,,,726.0,759.0,0.9,OPTIMAL,UNPRODUCTIVE,DECREASING,54.0,MODERATE,702.0,1767.0,3766.0,8643.0,19529.0
2024-05-26,355.0,72.0,233.0,50.0,12.0,73.0,86.0,89.0,13.0,12.8,38.0,,,44.0,,,,41.0,,,,893.0,811.0,1.1,OPTIMAL,UNPRODUCTIVE,DECREASING,69.0,MODERATE,1.0,1777.0,3778.0,8685.0,19688.0
2024-05-27,392.0,52.0,301.0,39.0,17.0,68.0,70.0,60.0,13.0,24.8,38.0,,,45.0,,,,,,,,716.0,779.0,0.9,OPTIMAL,UNPRODUCTIVE,DECREASING,35.0,LOW,2079.0,1780.0,3784.0,8703.0,19738.0
2024-05-28,474.0,61.0,340.0,73.0,24.0,79.0,73.0,76.0,13.0,17.2,43.0,,,46.0,,,,,,,,538.0,752.0,0.7,LOW,UNPRODUCTIVE,DECREASING,59.0,MODERATE,617.0,1781.0,3788.0,8714.0,19778.0
2024-05-29,311.0,28.0,241.0,42.0,34.0,57.0,62.0,54.0,14.0,27.4,33.0,,,42.0,,,,,,,,391.0,723.0,0.5,LOW,UNPRODUCTIVE,DECREASING,45.0,LOW,44.0,1784.0,3790.0,8724.0,19806.0
2024-05-30,525.0,50.0,363.0,112.0,10.0,81.0,77.0,66.0,13.0,21.9,63.0,,,41.0,,,,,,,,282.0,689.0,0.4,LOW,STRAINED,DECREASING,69.0,MODERATE,1.0,1784.0,3792.0,8727.0,19821.0
2024-05-31,456.0,85.0,300.0,71.0,8.0,87.0,88.0,96.0,13.0,10.9,50.0,,,43.0,,,,,,,,204.0,651.0,0.3,LOW,UNPRODUCTIVE,DECREASING,92.0,HIGH,1.0,1784.0,3792.0,8728.0,19825.0
2024-06-01,402.0,59.0,252.0,91.0,11.0,78.0,82.0,78.0,13.0,16.2,50.0,,,43.0,,,,,,,,127.0,618.0,0.2,LOW,DETRAINING,DECREASING,77.0,HIGH,1.0,1785.0,3794.0,8734.0,19838.0
2024-06-02,281.0,56.0,193.0,32.0,7.0,58.0,80.0,67.0,13.0,21.4,32.0,,,42.0,,59.0,,41.0,50.7,18.4,21.8,504.0,664.0,0.7,LOW,UNPRODUCTIVE,DECREASING,66.0,MODERATE,30.0,1745.0,3706.0,8511.0,19279.0
2024-06-03,,,,,,,,,,,,,,43.0,,,,,,,,431.0,629.0,0.6,LOW,UNPRODUCTIVE,DECREASING,3.0,POOR,3929.0,1743.0,3703.0,8502.0,19247.0
2024-06-04,482.0,97.0,268.0,117.0,7.0,94.0,91.0,89.0,13.0,12.8,59.0,,,44.0,,59.0,,,50.7,18.4,21.8,358.0,597.0,0.5,LOW,UNPRODUCTIVE,DECREASING,48.0,LOW,2172.0,1741.0,3696.0,8484.0,19202.0
