activity_id,datetime_local,date,name,sport,distance_km,duration_s,pace_str,pace_s_per_km,avg_hr,max_hr,avg_cadence_spm,avg_power,avg_gct_ms,avg_vert_osc_mm,avg_vert_ratio,avg_stride_m,vo2max,aerobic_te,anaerobic_te,training_load,rpe,body_battery_delta,calories,elev_gain_m,location,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s
15347401851,2024-05-12T06:00:32,2024-05-12,3K x 3 Hill Run,RUNNING,9.522,4052.0,07:06,425.6,180.0,196.0,152.0,216.0,284.6,8.8,9.77,0.908,42.0,5.0,2.799999952316284,483.7,90.0,,3951.1888599999997,10100.0,Mumbai,,,,,
15399066985,2024-05-15T07:12:29,2024-05-15,Mumbai Running,RUNNING,7.013,3108.0,07:23,443.2,179.0,193.0,156.0,207.0,290.8,8.7,10.11,0.858,41.0,5.0,0.30000001192092896,175.6,50.0,-26.0,1981.8794599999999,1900.0,Mumbai,,,,,
15455465415,2024-05-18T18:46:32,2024-05-18,Mumbai Running,RUNNING,7.007,3078.0,07:19,439.3,183.0,200.0,158.0,206.0,290.3,8.7,10.15,0.856,39.0,4.699999809265137,0.30000001192092896,235.4,60.0,-13.0,2019.58964,100.0,Mumbai,,,,,
15472524867,2024-05-19T17:03:39,2024-05-19,Mumbai Running,RUNNING,7.351,3225.0,07:19,438.7,176.0,186.0,154.0,206.0,285.9,8.7,9.81,0.886,39.0,4.400000095367432,0.0,215.3,60.0,-6.0,2015.39962,2000.0,Mumbai,,,,,
15472525074,2024-05-19T18:21:12,2024-05-19,Mumbai - Benchmark Run,RUNNING,1.312,549.0,06:58,418.3,160.0,187.0,142.0,207.0,259.7,8.2,8.04,1.025,39.0,2.200000047683716,2.299999952316284,86.6,20.0,-1.0,318.44151999999997,200.0,Mumbai,,,,,
15488679464,2024-05-20T17:41:43,2024-05-20,Mumbai Running,RUNNING,7.006,3116.0,07:25,444.9,174.0,193.0,156.0,206.0,286.3,8.5,9.87,0.868,39.0,4.0,2.5999999046325684,250.6,70.0,-3.0,1877.1289599999998,1200.0,Mumbai,,,,,
15516226083,2024-05-22T07:32:02,2024-05-22,Mumbai Running,RUNNING,10.006,4294.0,07:09,429.1,178.0,190.0,156.0,214.0,281.5,8.6,9.69,0.892,39.0,5.0,1.7000000476837158,356.6,90.0,-23.0,2777.98326,1900.0,Mumbai,,,,,
15572799825,2024-05-25T19:04:14,2024-05-25,Mumbai Running,RUNNING,2.053,1930.0,15:40,940.1,101.0,119.0,74.0,55.0,,5.6,7.68,0.761,,0.30000001192092896,0.0,4.3,10.0,-1.0,465.09221999999994,400.0,Mumbai,,,,,
15581219308,2024-05-26T07:32:14,2024-05-26,Mumbai Running,RUNNING,13.008,6206.0,07:57,477.1,177.0,195.0,150.0,188.0,295.4,8.3,10.1,0.824,38.0,4.5,0.20000000298023224,246.2,90.0,-27.0,3565.70702,5400.0,Mumbai,,,,,
15696470151,2024-06-02T05:57:30,2024-06-02,Surat Running,RUNNING,10.006,4014.0,06:41,401.2,177.0,193.0,156.0,224.0,277.4,8.8,9.44,0.938,39.0,5.0,1.5,320.9,80.0,-21.0,2589.43236,500.0,Surat,,,,,
