month,month_start,year,total_km,num_runs,avg_pace,avg_pace_sec_per_km,total_time,total_time_s,source,strava_overlap
2021-03,2021-03-01,2021,42.7,17,6:25,385,4:34:22,16462,NRC,False
2021-04,2021-04-01,2021,43.5,14,6:20,380,4:35:53,16553,NRC,False
2021-05,2021-05-01,2021,100.0,15,6:26,386,10:44:16,38656,NRC,False
2021-06,2021-06-01,2021,26.0,3,4:50,290,2:05:30,7530,NRC,False
2022-02,2022-02-01,2022,15.0,4,6:22,382,1:35:51,5751,NRC,False
2022-03,2022-03-01,2022,50.0,18,6:35,395,5:29:43,19783,NRC,False
2022-04,2022-04-01,2022,104.2,22,6:05,365,10:34:57,38097,NRC,False
2022-05,2022-05-01,2022,130.1,34,6:43,403,14:34:22,52462,NRC,True
2022-06,2022-06-01,2022,100.0,15,7:20,440,12:14:20,44060,NRC,True
2022-07,2022-07-01,2022,106.8,28,8:13,493,14:38:30,52710,NRC,True
2022-08,2022-08-01,2022,92.6,16,9:29,569,14:38:52,52732,NRC,True
2022-09,2022-09-01,2022,44.0,7,8:58,538,6:35:13,23713,NRC,True
2022-10,2022-10-01,2022,30.8,6,7:15,435,3:43:30,13410,NRC,True
2022-11,2022-11-01,2022,57.8,9,7:37,457,7:20:38,26438,NRC,True
2022-12,2022-12-01,2022,34.9,6,7:14,434,4:12:16,15136,NRC,True
2023-01,2023-01-01,2023,84.8,10,6:54,414,9:45:42,35142,NRC,True
2023-02,2023-02-01,2023,41.3,4,6:00,360,4:08:03,14883,NRC,True
2023-03,2023-03-01,2023,38.7,6,6:41,401,4:18:55,15535,NRC,True
2023-04,2023-04-01,2023,5.0,1,6:53,413,34:26,2066,NRC,True
2023-06,2023-06-01,2023,15.2,2,8:52,532,2:14:42,8082,NRC,True
2023-07,2023-07-01,2023,18.8,3,7:25,445,2:19:36,8376,NRC,True
2023-08,2023-08-01,2023,11.0,2,7:29,449,1:22:23,4943,NRC,True
2023-09,2023-09-01,2023,19.0,4,7:13,433,2:17:36,8256,NRC,True
2023-10,2023-10-01,2023,21.2,5,7:18,438,2:35:14,9314,NRC,True
2023-11,2023-11-01,2023,35.2,6,6:29,389,3:48:30,13710,NRC,True
2023-12,2023-12-01,2023,78.6,10,7:20,440,9:37:08,34628,NRC,True
